50	1	0.0182	0.0091	0.0091	0.00012	2.16
60	1.01	0.0186	0.0093	0.009207920792	0.00013	2.808
80	1.02	0.0188	0.0094	0.009215686275	0.00018	5.184
100	1.01	0.0188	0.0094	0.009306930693	0.00022	7.92
300	1.02	0.0204	0.0102	0.01	0.00024	25.92
500	1.02	0.0232	0.0116	0.01137254902	0.000212	38.16
700	1.02	0.0272	0.0136	0.01333333333	0.000184	46.368
900	1.01	0.032	0.016	0.01584158416	0.000172	55.728
1000	1.01	0.0346	0.0173	0.01712871287	0.00016	57.6
3000	1.03	0.126	0.063	0.06116504854	0.000063	68.04
4900	1.04	0.636	0.318	0.3057692308	0.0000148	26.1072
5000	1.04	0.684	0.342	0.3288461538	0.0000024	4.32
5100	1.04	0.712	0.356	0.3423076923	-0.0000016	-2.9376
5200	1.04	0.708	0.354	0.3403846154	-0.0000056	-10.4832
7000	1.04	0.216	0.108	0.1038461538	-0.0000308	-77.616
9000	1.04	0.122	0.061	0.05865384615	-0.000026	-84.24
10000	1.04	0.102	0.051	0.04903846154	-0.0000244	-87.84
30000	1.03	0.0268	0.0134	0.01300970874	-0.0000082	-88.56
50000	1.03	0.0168	0.0084	0.008155339806	-0.000005	-90
70000	1	0.0105	0.00525	0.00525	-0.0000036	-90.72
90000	0.99	0.00808	0.00404	0.004080808081	-0.00000276	-89.424
100000	0.99	0.00728	0.00364	0.003676767677	-0.00000248	-89.28
300000	0.99	0.00248	0.00124	0.001252525253	-0.00000081	-87.48
500000	1	0.00152	0.00076	0.00076	-0.00000042	-75.6
