1	0.000000	0.000000	0	0
2	0.000000	1.000000	1	1
3	0.000000	2.666575	3	2
4	0.000000	4.666700	5	4
5	0.000001	7.166598	8	5
6	0.000000	9.831813	11	7
7	0.000001	12.732370	14	9
8	0.000001	15.732860	17	12
9	0.000000	19.166192	21	13
10	0.000000	22.668094	25	15
11	0.000000	26.286685	29	17
12	0.000001	29.954698	33	21
13	0.000001	33.814540	37	24
14	0.000001	37.715983	41	27
15	0.000001	41.686332	45	30
16	0.000002	45.691577	49	35
17	0.000002	50.095329	54	37
18	0.000002	54.533250	59	41
19	0.000002	59.019447	64	45
20	0.000002	63.513095	69	49
21	0.000002	68.120963	74	53
22	0.000003	72.732925	79	58
23	0.000002	77.392875	84	61
24	0.000002	82.060343	89	66
25	0.000003	86.907926	94	71
26	0.000003	91.779790	99	74
27	0.000003	96.661748	104	80
28	0.000003	101.569900	109	84
29	0.000003	106.530479	114	87
30	0.000003	111.505516	119	93
1	0.000000	0.000000	0	0
2	0.000000	1.000000	1	1
3	0.000000	2.667387	3	2
4	0.000001	4.666464	5	4
5	0.000000	7.164907	8	5
6	0.000001	9.834564	11	7
7	0.000000	12.735478	14	9
8	0.000001	15.734006	17	12
9	0.000001	19.166162	21	13
10	0.000001	22.667445	25	15
11	0.000001	26.284815	29	17
12	0.000001	29.955256	33	20
13	0.000001	33.817784	37	24
14	0.000001	37.715281	41	26
15	0.000001	41.690514	45	30
16	0.000002	45.686510	49	35
17	0.000001	50.101329	54	38
18	0.000001	54.535887	59	40
19	0.000002	59.015159	64	45
20	0.000002	63.517488	69	49
21	0.000001	68.119652	74	53
22	0.000002	72.740966	79	58
23	0.000002	77.389569	84	63
24	0.000002	82.053379	89	65
25	0.000002	86.908346	94	70
