20	0.000000	71.065660	140	54
25	0.000000	98.461140	181	75
30	0.000000	127.704930	238	96
35	0.000000	158.620160	297	120
40	0.000010	190.914750	358	146
45	0.000000	224.497380	408	173
50	0.000000	258.990090	435	199
55	0.000000	294.572970	499	227
60	0.000000	330.938620	552	259
65	0.000000	368.121780	675	290
70	0.000010	406.338590	767	319
75	0.000000	444.901030	747	347
80	0.000010	484.536930	839	381
85	0.000000	524.471970	869	416
90	0.000010	565.195850	959	447
95	0.000000	606.240930	1000	485
100	0.000010	647.761080	1148	506
105	0.000000	690.129000	1126	545
110	0.000000	732.488000	1223	588
115	0.000010	775.822390	1222	624
120	0.000010	819.122730	1289	648
125	0.000000	862.907150	1447	678
130	0.000000	907.377780	1409	733
135	0.000010	951.767210	1583	762
140	0.000010	997.004930	1648	803
145	0.000010	1042.591590	1657	834
150	0.000010	1088.803010	1814	880
155	0.000010	1134.428350	1814	909
160	0.000010	1181.481430	1963	958
165	0.000010	1228.026600	1886	993
170	0.000010	1274.674220	2104	1037
175	0.000010	1322.476120	2120	1047
180	0.000000	1370.155760	2249	1114
185	0.000010	1417.845040	2209	1152
190	0.000010	1466.238870	2339	1192
195	0.000010	1514.400090	2322	1233
200	0.000010	1562.758180	2541	1275
60	0.000002	330.984727	613	257
80	0.000003	484.407947	918	375
100	0.000004	647.827184	1155	509
120	0.000005	819.268165	1402	649
140	0.000006	997.371598	1842	789
160	0.000007	1181.090236	1966	935
180	0.000009	1369.981230	2317	1104
200	0.000010	1563.020043	2562	1257
