HeuristicMobility vs Solution1:  14 12 
   
HeuristicMobility vs Solution1:  22 38 
   
Solution2 vs Solution3:  0 0 
   
Solution2 vs Solution3:  0 4 
   
Solution2 vs Solution3:  1 3 
   
Solution2 vs HeuristicOnlyWeight1:  3 1 
   
Solution1 vs Solution2:  3 1 
   
Solution1 vs Solution3:  2 2 
   
Solution1 vs HeuristicEdges:  0 0 
   
Solution3 vs HeuristicEdges:  0 0 
   
Solution2 vs HeuristicEdges:  0 0 
   
Solution1 vs HeuristicEdges:  3 1 
   
Solution3 vs HeuristicEdges:  3 1 
   
Solution2 vs HeuristicEdges:  2 2 
   
Solution2 vs HeuristicEdges:  16 10 
   
Solution1 vs EdgeStability:  0 0 
   
Solution1 vs EdgeStability:  0 0 
   
Solution1 vs EdgeStability:  0 0 
   
Solution2 vs Solution1:  0 0 
   
Solution2 vs HeuristicOnlyWeight1:  0 0 
   
Solution2 vs Solution1:  0 0 
   
Solution2 vs Solution1:  0 0 
   
Solution2 vs HeuristicOnlyWeight1:  0 0 
   
Solution2 vs Solution1:  27 33 
   
Solution2 vs HeuristicOnlyWeight1:  45 15 
   
Solution2 vs Solution1:  20 40 
   
Solution2 vs HeuristicOnlyWeight1:  52 8 
   
Solution1 vs HeuristicOnlyWeight1:  44 16 
   
Solution2 vs HeuristicOnlyWeight2:  44 16 
   
Solution2 vs Solution1:  27 33 
   
Solution2 vs HeuristicOnlyWeight1:  50 10 
   
Solution1 vs HeuristicOnlyWeight1:  48 12 
   
Solution2 vs HeuristicOnlyWeight2:  45 15 
   
Solution2 vs Solution3:  25 35 
   
Solution2 vs Solution1:  0 0 
   
Solution2 vs HeuristicOnlyWeight1:  0 0 
   
Solution2 vs Solution1:  12 8 
   
Solution2 vs HeuristicOnlyWeight1:  0 0 
   
Solution1 vs HeuristicOnlyWeight1:  0 0 
   
Solution2 vs HeuristicOnlyWeight2:  0 0 
   
Solution2 vs Solution3:  0 0 
   
Solution2 vs Solution1:  23 37 
   
Solution2 vs HeuristicOnlyWeight1:  44 16 
   
Solution1 vs HeuristicOnlyWeight1:  41 19 
   
Solution2 vs HeuristicOnlyWeight2:  44 16 
   
Solution2 vs Solution3:  28 30 
   
Solution1 vs Solution3:  8 2 
   
Solution1 vs Solution3:  5 5 
   
new sol3: .2,.4,.4

Solution1 vs Solution3:  4 6 
   
Solution1 vs Solution3:  3 7 
   
Solution1 vs Solution3:  2 8 
   
Solution1 vs Solution3:  4 6 
   
Solution1 vs Solution3:  6 4 
   
Solution1 vs Solution3:  6 4 
   
Solution1 vs Solution3:  3 7 
   
Solution3 vs HeuristicOnlyWeight1:  25 5 
   
Solution1 vs Solution2:  14 16 
   
Solution2 vs Solution3:  12 18 
   
Solution1 vs Solution2:  10 20 
   
