100000    0.0003381	0.0004274	0.0010528	0.0015515      
108000    0.0003524	0.0004834	0.0010896	0.0015525      
116000    0.0003493	0.0006711	0.0006329	0.000921      
124000    0.0004145	0.000584	0.0008547	0.0007345      
132000    0.0004062	0.0006448	0.0008391	0.0015508      
140000    0.0004287	0.001945	0.0009619	0.0007816      
148000    0.0004322	0.0006222	0.0013569	0.0006426      
156000    0.0005189	0.0006787	0.0014382	0.0006464      
164000    0.0004715	0.0007223	0.0009709	0.0011004      
172000    0.0005415	0.0008096	0.000741	0.0024121      
180000    0.0005586	0.0007611	0.0008873	0.0018445      
188000    0.000571	0.0008159	0.00074	0.0020873      
196000    0.0007138	0.0008784	0.000538	0.0019852      
