2	0.000000	1	1	1
3	0.000000	2.666646	3	2
4	0.000000	4.91682	6	3
5	0.000000	7.715575	10	4
6	0.000001	11.049954	15	5
7	0.000000	14.903787	21	6
8	0.000000	19.281692	28	7
9	0.000000	24.170346	36	8
10	0.000000	29.576978	45	9
11	0.000001	35.485269	55	12
12	0.000000	41.899782	66	12
13	0.000000	48.824252	77	15
14	0.000001	56.252126	88	18
15	0.000000	64.188304	102	24
16	0.000000	72.608363	115	29
17	0.000000	81.553362	129	28
18	0.000001	90.984386	142	30
19	0.000001	100.945456	158	36
20	0.000001	111.412059	176	45

