10000	0.080000	24978382.930000	25386507	24627844
15000	0.170000	56264681.010000	56985640	55433718
20000	0.330000	100077486.280000	101134066	98568629
25000	0.510000	156190753.350000	157817129	154667893
30000	0.750000	224996071.140000	227966001	222492079
35000	1.030000	306347218.590000	309662587	303737593
40000	1.260000	400058869.730000	403949972	396832194
45000	1.620000	506246418.170000	510587240	501952449
50000	1.990000	624903993.590000	629220466	619247803
55000	2.380000	756059964.040000	761751127	750088216
60000	2.840000	899914596.040000	906547342	893775138
65000	3.330000	1056383294.020000	1064287613	1049425875
70000	3.870000	1224970823.040000	1232934458	1217932774
75000	4.450000	1405981588.210000	1416901727	1398069172
80000	5.030000	1599453299.050000	1609841653	1591450803
85000	5.690000	1806828169.040000	1814282186	1796089920
90000	7.330000	2025156637.350000	2033822700	2015514682
95000	7.110000	184467438698380608.000000	-2029380498	-2055330512
100000	7.880000	184467438942155424.000000	-1779428433	-1808841956
10000	0.110000	24996592.450000	25474045	24524587
15000	0.260000	56234433.180000	56829208	55253928
20000	0.470000	99958949.900000	101154496	98760942
25000	0.750000	156258849.590000	157972585	154806163
30000	1.240000	225059279.080000	227024787	223433799
35000	1.730000	306205512.230000	309025165	303543551
40000	2.310000	399852385.790000	402334581	396241269
45000	2.740000	506097856.760000	510615853	501428672
50000	3.330000	624860066.160000	630568126	620464888
55000	4.100000	755989258.710000	761972782	750937579
60000	5.190000	899709196.520000	905160107	891510140
65000	5.820000	1056025247.400000	1061713659	1050300804
70000	6.750000	1225094124.320000	1234977490	1218596576
75000	7.710000	1406013024.640000	1413287609	1397970610
80000	8.850000	1600207788.600000	1609116392	1591681593
85000	9.990000	1806012211.790000	1816008446	1797071195
90000	11.250000	2025071053.700000	2034656261	2012368640
95000	12.480000	184467438698409664.000000	-2026337846	-2051621946
100000	13.890000	184467438942462048.000000	-1778004235	-1807373741
