0	-1	0	0
0.1	-0.9	0.0025	-0.045
0.2	-0.8	0.01	-0.08
0.3	-0.7	0.0225	-0.105
0.4	-0.6	0.04	-0.12
0.5	-0.5	0.0625	-0.125
0.6	-0.4	0.09	-0.12
0.7	-0.3	0.1225	-0.105
0.8	-0.2	0.16	-0.08
0.9	-0.1	0.2025	-0.045
1	0	0.25	0
1.1	0.1	0.3025	0.055
1.2	0.2	0.36	0.12
1.3	0.3	0.4225	0.195
1.4	0.4	0.49	0.28
1.5	0.5	0.5625	0.375
1.6	0.6	0.64	0.48
1.7	0.7	0.7225	0.595
1.8	0.8	0.81	0.72
1.9	0.9	0.9025	0.855
2	1	1	1
2.1	1.1	1.1025	1.155
2.2	1.2	1.21	1.32
2.3	1.3	1.3225	1.495
2.4	1.4	1.44	1.68
2.5	1.5	1.5625	1.875
2.6	1.6	1.69	2.08
2.7	1.7	1.8225	2.295
2.8	1.8	1.96	2.52
2.9	1.9	2.1025	2.755
3	2	2.25	3
3.1	2.1	2.4025	3.255
3.2	2.2	2.56	3.52
3.3	2.3	2.7225	3.795
3.4	2.4	2.89	4.08
3.5	2.5	3.0625	4.375
3.6	2.6	3.24	4.68
3.7	2.7	3.4225	4.995
3.8	2.8	3.61	5.32
3.9	2.9	3.8025	5.655
4	3	4	6
4.1	3.1	4.2025	6.355
4.2	3.2	4.41	6.72
4.3	3.3	4.6225	7.095
4.4	3.4	4.84	7.48
4.5	3.5	5.0625	7.875
4.6	3.6	5.29	8.28
4.7	3.7	5.5225	8.695
4.8	3.8	5.76	9.12
4.9	3.9	6.0025	9.555
5	4	6.25	10
5.1	4.1	6.5025	10.455
5.2	4.2	6.76	10.92
5.3	4.3	7.0225	11.395
5.4	4.4	7.29	11.88
5.5	4.5	7.5625	12.375
5.6	4.6	7.84	12.88
5.7	4.7	8.1225	13.395
5.8	4.8	8.41	13.92
5.9	4.9	8.7025	14.455
6	5	9	15
6.1	5.1	9.3025	15.555
6.2	5.2	9.61	16.12
6.3	5.3	9.9225	16.695
6.4	5.4	10.24	17.28
6.5	5.5	10.5625	17.875
6.6	5.6	10.89	18.48
6.7	5.7	11.2225	19.095
6.8	5.8	11.56	19.72
6.9	5.9	11.9025	20.355
7	6	12.25	21
7.1	6.1	12.6025	21.655
7.2	6.2	12.96	22.32
7.3	6.3	13.3225	22.995
7.4	6.4	13.69	23.68
7.5	6.5	14.0625	24.375
7.6	6.6	14.44	25.08
7.7	6.7	14.8225	25.795
7.8	6.8	15.21	26.52
7.9	6.9	15.6025	27.255
8	7	16	28
8.1	7.1	16.4025	28.755
8.2	7.2	16.81	29.52
8.3	7.3	17.2225	30.295
8.4	7.4	17.64	31.08
8.5	7.5	18.0625	31.875
8.6	7.6	18.49	32.68
8.7	7.7	18.9225	33.495
8.8	7.8	19.36	34.32
