1000	0.000000	10.506589	1000	1
1500	0.000000	13.251859	1500	1
2000	0.000000	15.609706	2000	1
2500	0.000000	18.687705	2500	1
3000	0.000000	20.111633	3000	1
3500	0.000000	24.189148	3500	1
4000	0.000000	26.126362	4000	1
4500	0.000000	29.188367	4500	1
5000	0.000000	30.307704	5000	1
5500	0.000000	33.600067	5500	1
6000	0.000000	36.913851	6000	1
6500	0.000000	41.322662	6500	1
7000	0.000000	42.214734	7000	1
7500	0.000000	43.097312	7500	1
8000	0.000000	47.729988	8000	1
8500	0.000000	51.503058	8500	1
9000	0.000000	53.259084	9000	1
9500	0.000000	53.652511	9500	1
10000	0.000000	59.960825	9999	1
