1000	0.000006800000	469.431000	951	6
1500	0.000009742667	702.834667	1500	26
2000	0.000008089500	587.470500	1968	1
2500	0.000010421200	791.571600	2485	1
3000	0.000007840000	1354.172333	2995	47
3500	0.000002702857	696.704286	3358	1
4000	0.000008721250	2535.877500	3987	50
4500	0.000004056667	1197.565556	4492	1
5000	0.000005045800	1523.394400	4998	1
5500	0.000010247818	3010.884727	5487	191
6000	0.000007739500	2266.442500	6000	1
6500	0.000013364154	3902.081692	6491	22
7000	0.000013134143	3859.408857	6952	55
7500	0.000007144400	2147.364667	7455	1
8000	0.000009614875	2900.805250	7980	1
8500	0.000014145059	4149.081882	8436	40
9000	0.000011914000	3608.458222	8924	1
9500	0.000011259053	3343.700947	9485	2
10000	0.000016486500	4935.688300	9840	1
