50	0.104	0.052	2	0.026	0.005	1.570796327
60	0.128	0.064	2	0.032	0.004	1.507964474
70	0.148	0.074	2	0.037	0.0036	1.583362697
80	0.168	0.084	2	0.042	0.0031	1.558229956
90	0.192	0.096	2.04	0.04705882353	0.0027	1.52681403
100	0.208	0.104	2.04	0.05098039216	0.0023	1.445132621
200	0.408	0.204	2	0.102	0.00116	1.457698991
300	0.608	0.304	2.04	0.1490196078	0.00074	1.394867138
400	0.796	0.398	2.04	0.1950980392	0.00052	1.306902544
500	0.98	0.49	2	0.245	0.00043	1.350884841
600	1.2	0.6	2.04	0.2941176471	0.00033	1.244070691
700	1.34	0.67	2.04	0.3284313725	0.000292	1.284283077
800	1.52	0.76	2.04	0.3725490196	0.00024	1.206371579
900	1.66	0.83	2	0.415	0.000212	1.198831757
1000	1.8	0.9	2	0.45	0.00018	1.130973355
2000	2.78	1.39	2	0.695	0.000066	0.8293804605
3000	3.22	1.61	2	0.805	0.000031	0.5843362336
4000	3.46	1.73	1.96	0.8826530612	0.000018	0.4523893421
5000	3.56	1.78	1.96	0.9081632653	0.0000126	0.3958406744
6000	3.68	1.84	1.96	0.9387755102	0.0000095	0.3581415625
7000	3.73	1.865	1.96	0.9515306122	0.0000063	0.277088472
8000	3.84	1.92	1.96	0.9795918367	0.0000041	0.2060884781
9000	3.92	1.96	1.96	1	0.000004	0.2261946711
10000	3.92	1.96	1.96	1	0.0000039	0.245044227
20000	4	2	2	1	0.0000012	0.1507964474
30000	4	2	2	1	0.00000072	0.1357168026
40000	4	2	2	1	0.00000037	0.09299114255
50000	4	2	2	1	0.00000012	0.03769911184
