1024	0.003625	0.001429
2048	0.052465	0.006049
3072	0.149630	0.013519
4096	0.280176	0.023767
5120	0.418709	0.036893
6144	0.595127	0.052630
7168	0.783358	0.071752
8192	1.026624	0.092526
9216	1.242741	0.117299
10240	1.471016	0.145671
11264	1.732252	0.177301
12288	2.005574	0.211639
13312	2.325032	0.245508
14336	2.703776	0.281533
15360	3.131673	0.332689
16384	3.618202	0.374826
1024	0.003396	0.001331
2048	0.049812	0.005738
3072	0.148534	0.013156
4096	0.279154	0.023705
5120	0.419218	0.036768
6144	0.592228	0.053018
7168	0.783686	0.072068
8192	1.006586	0.093489
9216	1.238858	0.118082
10240	1.472275	0.145255
11264	1.732081	0.175915
12288	2.002944	0.210164
13312	2.320688	0.244725
14336	2.697813	0.284869
15360	3.128977	0.331584
16384	3.597388	0.370806
1024	0.003541	0.001478
2048	0.050256	0.005841
3072	0.149958	0.013182
4096	0.279165	0.023847
5120	0.420444	0.037034
6144	0.593210	0.053938
7168	0.787053	0.071262
8192	1.051583	0.094241
9216	1.236077	0.118989
10240	1.476197	0.148533
11264	1.734881	0.176608
12288	2.002076	0.211088
13312	2.321334	0.245379
14336	2.703426	0.286844
15360	3.136410	0.330645
16384	3.593513	0.374961
1024	0.003589	0.001496
2048	0.051029	0.005768
3072	0.149692	0.013421
4096	0.281339	0.023674
5120	0.418854	0.036864
6144	0.598000	0.052900
7168	0.784748	0.071926
8192	1.042791	0.093732
9216	1.240638	0.119109
10240	1.475439	0.146786
11264	1.732415	0.177319
12288	1.999353	0.209673
13312	2.323208	0.245713
14336	2.697004	0.289105
15360	3.129223	0.327253
16384	3.603752	0.376795
1024	0.003444	0.001340
2048	0.050947	0.005871
3072	0.151015	0.013514
4096	0.281932	0.023674
5120	0.421169	0.036815
6144	0.597604	0.052645
7168	0.784840	0.072074
8192	1.043593	0.093441
9216	1.244489	0.117424
10240	1.477499	0.146308
11264	1.727661	0.176651
12288	2.006134	0.207999
13312	2.317040	0.247799
14336	2.694886	0.286674
15360	3.133748	0.325540
16384	3.594861	0.373662
1024	0.003449	0.001456
2048	0.053803	0.005736
3072	0.155148	0.013280
4096	0.280251	0.024087
5120	0.426973	0.036670
6144	0.593062	0.052646
7168	0.785656	0.071670
8192	1.025296	0.092636
9216	1.242608	0.117694
10240	1.474783	0.145518
11264	1.736042	0.176202
12288	2.008253	0.210089
13312	2.318417	0.245736
14336	2.705010	0.286490
15360	3.126420	0.325296
16384	3.586005	0.372887
1024	0.003410	0.001340
2048	0.050389	0.005751
3072	0.153628	0.013345
4096	0.283037	0.023969
5120	0.419845	0.037190
6144	0.592034	0.052869
7168	0.786777	0.073207
8192	1.045735	0.093643
9216	1.239199	0.120296
10240	1.471636	0.146431
11264	1.728057	0.177777
12288	2.008888	0.209817
13312	2.312962	0.246051
14336	2.696804	0.289023
15360	3.119914	0.332754
16384	3.595053	0.374025
1024	0.003389	0.001337
2048	0.049934	0.005790
3072	0.153741	0.013177
4096	0.280836	0.023709
5120	0.423406	0.036819
6144	0.592010	0.054421
7168	0.784201	0.072134
8192	1.018238	0.094998
9216	1.239220	0.117410
10240	1.479812	0.147508
11264	1.732647	0.176960
12288	2.000948	0.210146
13312	2.327341	0.247771
14336	2.725335	0.287779
15360	3.142038	0.326832
16384	3.608538	0.379014
1024	0.003490	0.001385
2048	0.049456	0.005663
3072	0.148931	0.013154
4096	0.279967	0.023787
5120	0.422871	0.036876
6144	0.595074	0.052531
7168	0.788444	0.071494
8192	1.023233	0.093564
9216	1.237412	0.118637
10240	1.490049	0.146214
11264	1.749539	0.177871
12288	1.993485	0.211142
13312	2.317580	0.248557
14336	2.702247	0.288395
15360	3.132161	0.327775
16384	3.607620	0.375581
1024	0.003361	0.001363
2048	0.048179	0.005819
3072	0.147491	0.013333
4096	0.278043	0.023669
5120	0.422666	0.036767
6144	0.598693	0.052641
7168	0.785556	0.071425
8192	1.028799	0.093576
9216	1.244042	0.118756
10240	1.475516	0.145602
11264	1.743099	0.176434
12288	2.001884	0.211066
13312	2.339753	0.245317
14336	2.704498	0.285419
15360	3.158247	0.332452
16384	3.607278	0.378976
