1024	0.011111	0.002637
2048	0.177601	0.009691
3072	0.217638	0.021303
4096	1.540193	0.038241
5120	0.605428	0.058474
6144	1.678965	0.083975
7168	1.194373	0.114773
8192	6.140660	0.148898
9216	1.990859	0.188962
10240	4.702306	0.233091
11264	2.981413	0.281401
12288	13.573983	0.334377
13312	4.120827	0.391432
14336	9.233164	0.455101
15360	5.490022	0.524809
16384	24.582062	0.594172
1024	0.012115	0.002559
2048	0.177320	0.009666
3072	0.218688	0.021374
4096	1.538940	0.037681
5120	0.604381	0.058629
6144	1.678740	0.083940
7168	1.189844	0.114084
8192	6.141791	0.149226
9216	1.989191	0.189008
10240	4.700343	0.233063
11264	2.980172	0.281038
12288	13.583938	0.335683
13312	4.195461	0.391761
14336	9.238273	0.455007
15360	5.485704	0.522663
16384	24.576104	0.604131
1024	0.022485	0.002677
2048	0.178656	0.009719
3072	0.217167	0.021468
4096	1.553287	0.038598
5120	0.602365	0.058566
6144	1.676295	0.084384
7168	1.195836	0.114225
8192	6.146849	0.149060
9216	1.981195	0.188579
10240	4.702286	0.232693
11264	2.973956	0.281283
12288	13.579462	0.335248
13312	4.116858	0.393234
14336	9.237547	0.453879
15360	5.481631	0.522913
16384	24.608874	0.597712
1024	0.020455	0.002738
2048	0.179856	0.009721
3072	0.218242	0.021558
4096	1.544048	0.037633
5120	0.605161	0.058759
6144	1.678505	0.084172
7168	1.194309	0.114282
8192	6.144258	0.148985
9216	1.987254	0.188996
10240	4.700629	0.232981
11264	2.976476	0.280677
12288	13.578293	0.334590
13312	4.112288	0.392161
14336	9.235186	0.454782
15360	5.477206	0.525705
16384	24.566247	0.594849
1024	0.020477	0.002647
2048	0.178335	0.009705
3072	0.216838	0.021370
4096	1.546013	0.037950
5120	0.604702	0.058564
6144	1.678004	0.084030
7168	1.189546	0.113993
8192	6.144082	0.148918
9216	1.988144	0.188978
10240	4.698311	0.233097
11264	2.979767	0.281010
12288	13.580790	0.334337
13312	4.121397	0.392153
14336	9.240461	0.454686
15360	5.483120	0.521836
16384	24.582751	0.602877
1024	0.013422	0.002552
2048	0.178449	0.009640
3072	0.216305	0.021315
4096	1.539082	0.037614
5120	0.604304	0.058470
6144	1.683394	0.084094
7168	1.194797	0.114316
8192	6.141010	0.149226
9216	1.986761	0.188347
10240	4.698233	0.233021
11264	2.974982	0.280497
12288	13.580111	0.334308
13312	4.119655	0.392181
14336	9.236391	0.455701
15360	5.485178	0.522312
16384	24.595479	0.594020
1024	0.010687	0.002578
2048	0.176324	0.009652
3072	0.215995	0.021847
4096	1.541761	0.037630
5120	0.612949	0.058460
6144	1.676426	0.083975
7168	1.191324	0.114207
8192	6.143812	0.149052
9216	1.982755	0.188737
10240	4.699475	0.232302
11264	2.981760	0.281722
12288	13.577425	0.334325
13312	4.122422	0.392251
14336	9.230823	0.454143
15360	5.480057	0.522098
16384	24.568760	0.603137
1024	0.013782	0.002513
2048	0.176427	0.009669
3072	0.217596	0.021432
4096	1.539695	0.037707
5120	0.601347	0.058449
6144	1.677067	0.084673
7168	1.194025	0.114225
8192	6.149052	0.148821
9216	1.985725	0.188349
10240	4.706753	0.232086
11264	2.977921	0.280983
12288	13.573138	0.334648
13312	4.118080	0.392238
14336	9.238652	0.455443
15360	5.486705	0.524072
16384	24.600011	0.603220
1024	0.017290	0.002564
2048	0.178779	0.009671
3072	0.217894	0.021840
4096	1.543261	0.037615
5120	0.601560	0.058429
6144	1.677572	0.084204
7168	1.190978	0.114351
8192	6.146249	0.149213
9216	1.983704	0.188445
10240	4.699774	0.232811
11264	2.976785	0.281162
12288	13.579935	0.334661
13312	4.120434	0.392326
14336	9.240657	0.455391
15360	5.479654	0.522218
16384	24.563174	0.593994
1024	0.017173	0.002737
2048	0.178091	0.009803
3072	0.217076	0.021326
4096	1.539123	0.038265
5120	0.604735	0.058457
6144	1.676246	0.084078
7168	1.192729	0.114493
8192	6.142193	0.148974
9216	1.991178	0.188536
10240	4.707392	0.232376
11264	2.972211	0.281660
12288	13.582839	0.335230
13312	4.118233	0.392062
14336	9.234665	0.454766
15360	5.487030	0.522543
16384	24.602880	0.596602
